Time,DerivedAlleleCopyNumber,NumberOfSites
9000,17,3
9000,18,1
9000,19,1
9000,20,1
9000,21,2
9000,22,2
9000,23,4
9000,24,1
9000,25,3
9000,26,1
9000,27,2
9000,28,1
9000,29,3
9000,30,1
9000,33,1
9000,34,1
9000,37,2
9000,41,1
9000,42,1
9000,45,2
9000,46,1
9000,47,2
9000,51,1
9000,53,1
9000,57,2
9000,58,2
9000,59,2
9000,60,2
9000,61,1
9000,62,2
9000,64,1
9000,65,1
9000,69,1
9000,71,1
9000,74,1
9000,76,2
9000,78,1
9000,82,1
9000,84,1
9000,87,1
9000,90,1
9000,92,2
9000,106,1
9000,107,1
9000,119,1
9000,120,2
9000,124,1
9000,130,1
9000,132,1
9000,133,1
9000,134,1
9000,137,1
9000,146,1
9000,152,1
9000,153,1
9000,160,1
9000,161,1
9000,169,1
9000,180,1
9000,194,1
9000,204,1
9000,205,1
9000,216,1
9000,217,1
9000,224,1
9000,235,1
9000,236,1
9000,237,2
9000,245,1
9000,251,1
9000,252,1
9000,259,1
9000,269,1
9000,282,1
9000,287,1
9000,288,1
9000,302,1
9000,307,1
9000,320,1
9000,323,1
9000,324,1
9000,333,1
9000,334,1
9000,345,1
9000,347,1
9000,367,1
9000,401,1
9000,411,1
9000,450,1
9000,452,1
9000,474,1
9000,477,2
9000,584,1
9000,638,1
9000,648,1
9000,656,1
9000,700,1
9000,709,1
9000,737,1
9000,777,1
9000,828,1
9000,831,1
9000,868,1
9000,916,1
9000,926,1
9000,941,1
9000,954,1
9000,955,1
9000,960,1
9000,969,1
9000,1030,1
9000,1039,1
9000,1115,1
9000,1142,1
9000,1198,1
9000,1221,1
9000,1253,1
9000,1296,1
9000,1321,1
9000,1322,1
9000,1327,1
9000,1440,1
9000,1475,1
9000,1503,1
9000,1690,1
9000,1888,1
9000,1961,1
9000,2037,1
9000,2108,1
9000,2125,1
9000,2239,1
9000,2313,1
9000,2421,1
9000,2484,1
9000,2604,1
9000,2614,1
9000,2694,1
9000,2701,1
9000,2950,1
9000,3041,1
9000,3293,1
9000,3457,1
9000,3581,1
9000,3757,1
9000,4019,1
9000,4316,1
9000,4391,1
9000,4392,1
9000,5193,1
9000,5493,1
9000,5707,1
9000,6055,1
9000,6513,1
9000,6573,1
9000,6819,1
9000,7105,1
9000,7221,1
9000,7530,1
9000,7907,1
9000,8725,1
9000,8911,1
9000,9001,1
9000,9054,1
9000,9276,1
9000,9714,1
9000,9763,1
9000,9841,1
9000,9843,1
9000,9952,1
9000,9956,1
9000,10009,1
9000,10021,1
9000,10110,1
9000,10135,1
9000,10146,1
9000,10179,1
9000,10208,1
9000,10221,1
9000,10233,1
9000,10318,1
9000,10324,1
9000,10367,1
9000,10426,1
9000,10568,1
9000,10855,1
9000,11719,1
9000,12466,1
9000,12762,1
9000,13750,1
9000,14771,1
9000,14774,1
9000,15448,1
9000,15584,1
9000,17245,1
9000,19045,1
9000,19072,1
9000,19120,1
9000,19879,1
10000,1,40
10000,2,16
10000,3,12
10000,4,13
10000,5,5
10000,6,5
10000,7,8
10000,8,5
10000,9,4
10000,10,3
10000,11,5
10000,12,5
10000,13,4
10000,14,4
10000,15,3
10000,16,4
10000,17,2
10000,18,2
10000,19,1
10000,20,2
10000,21,1
10000,22,3
10000,23,2
10000,24,1
10000,25,2
10000,26,4
10000,27,5
10000,28,1
10000,29,2
10000,30,2
10000,31,1
10000,33,2
10000,34,2
10000,35,1
10000,36,1
10000,38,3
10000,40,1
10000,41,1
10000,43,1
10000,45,1
10000,53,1
10000,54,1
10000,55,1
10000,56,1
10000,58,2
10000,60,1
10000,63,3
10000,64,1
10000,73,1
10000,76,1
10000,79,1
10000,80,3
10000,82,1
10000,89,1
10000,92,1
10000,101,1
10000,105,1
10000,110,1
10000,128,2
10000,133,1
10000,135,1
10000,141,1
10000,148,1
10000,153,3
10000,167,1
10000,175,1
10000,177,1
10000,190,1
10000,196,1
10000,201,1
10000,204,1
10000,205,1
10000,213,1
10000,214,1
10000,218,1
10000,219,1
10000,222,1
10000,227,1
10000,228,1
10000,231,1
10000,236,1
10000,239,1
10000,240,1
10000,242,1
10000,249,1
10000,264,1
10000,272,1
10000,283,1
10000,308,1
10000,335,1
10000,365,1
10000,388,2
10000,398,1
10000,407,1
10000,409,1
10000,447,1
10000,456,1
10000,468,1
10000,489,2
10000,520,1
10000,529,1
10000,544,1
10000,637,1
10000,648,1
10000,681,1
10000,699,1
10000,742,1
10000,753,1
10000,799,1
10000,813,1
10000,845,1
10000,877,1
10000,880,1
10000,905,1
10000,906,1
10000,967,1
10000,1036,1
10000,1056,1
10000,1088,1
10000,1125,1
10000,1209,1
10000,1244,1
10000,1298,1
10000,1389,1
10000,1402,1
10000,1407,1
10000,1469,1
10000,1494,1
10000,1593,1
10000,1937,1
10000,1969,1
10000,2211,1
10000,2355,1
10000,2362,1
10000,2441,1
10000,2657,1
10000,2706,1
10000,2767,1
10000,2819,1
10000,2917,1
10000,2961,1
10000,3155,1
10000,3513,1
10000,3573,1
10000,3754,1
10000,3784,1
10000,3839,1
10000,4039,1
10000,4162,1
10000,4496,1
10000,4592,1
10000,4763,1
10000,4781,1
10000,4857,1
10000,4930,1
10000,5004,1
10000,5245,1
10000,5359,1
10000,5484,1
10000,5529,1
10000,5544,1
10000,5824,1
10000,6453,1
10000,6762,1
10000,6865,1
10000,8134,1
10000,8862,1
10000,8888,1
10000,9408,1
10000,9474,1
10000,9552,1
10000,9729,1
10000,9770,1
10000,9812,1
10000,9839,1
10000,9911,1
10000,9921,1
10000,9979,1
10000,9985,1
10000,10002,1
10000,10069,1
10000,10101,1
10000,10128,1
10000,10174,1
10000,10199,1
10000,10201,1
10000,10285,1
10000,10307,1
10000,10329,1
10000,10621,1
10000,10957,1
10000,11559,1
10000,11565,1
10000,12044,1
10000,12815,1
10000,12968,1
10000,14205,1
10000,15026,1
10000,15391,1
10000,17105,1
10000,17908,1
10000,18206,1
10000,18904,1
10000,19348,1
10000,19549,1
10000,19925,1
