Time,DerivedAlleleCopyNumber,NumberOfSites
2000,507,1
2000,512,1
2000,519,1
2000,533,1
2000,548,1
2000,552,1
2000,557,1
2000,569,1
2000,580,1
2000,581,1
2000,587,1
2000,591,1
2000,599,1
2000,607,1
2000,641,1
2000,657,1
2000,667,1
2000,673,1
2000,689,1
2000,699,1
2000,704,1
2000,725,1
2000,730,1
2000,740,1
2000,751,1
2000,785,1
2000,823,1
2000,837,1
2000,844,1
2000,850,1
2000,853,1
2000,918,1
2000,925,1
2000,967,1
2000,984,1
2000,988,1
2000,1040,1
2000,1065,1
2000,1119,1
2000,1245,1
2000,1251,1
2000,1323,1
2000,1387,1
2000,1427,1
2000,1441,1
2000,1551,1
2000,1562,1
2000,1578,1
2000,1594,1
2000,1604,1
2000,1613,1
2000,1634,1
2000,1723,1
2000,1760,1
2000,1803,1
2000,1850,1
2000,1892,1
2000,1987,1
2000,1996,1
2000,2002,1
2000,2003,1
2000,2036,2
2000,2105,1
2000,2160,1
2000,2221,1
2000,2273,1
2000,2304,1
2000,2324,1
2000,2404,1
2000,2593,1
2000,2708,1
2000,2712,1
2000,2713,1
2000,2745,1
2000,2788,1
2000,2811,1
2000,2854,1
2000,2921,1
2000,3037,1
2000,3133,2
2000,3217,1
2000,3231,1
2000,3330,1
2000,3794,1
2000,3822,1
2000,4541,1
2000,4631,1
2000,4652,1
2000,4716,1
2000,4718,1
2000,4846,1
2000,5169,1
2000,5172,1
2000,5308,1
2000,5446,1
2000,5540,1
2000,5548,1
2000,5635,1
2000,5761,1
2000,5789,1
2000,5859,1
2000,5939,1
2000,5961,1
2000,6325,1
2000,6534,1
2000,6545,1
2000,6775,1
2000,7266,1
2000,7340,1
2000,7422,1
2000,7515,1
2000,7520,1
2000,7686,1
2000,8253,1
2000,8289,1
2000,8541,1
2000,8677,1
2000,9355,1
2000,9486,1
2000,10005,1
2000,10329,1
2000,10348,1
2000,10635,1
2000,10649,1
2000,11651,1
2000,11759,1
2000,13292,1
2000,13632,1
2000,14216,1
2000,14436,1
2000,14439,1
2000,15094,1
2000,15747,1
2000,16401,1
2000,16513,1
2000,16553,1
2000,16716,1
2000,16836,1
2000,16923,1
2000,17377,1
2000,18032,1
2000,18229,1
2000,18297,1
2000,19496,1
2000,20606,1
2000,21020,1
2000,21133,1
3000,1,45
3000,2,20
3000,3,10
3000,4,6
3000,5,12
3000,6,5
3000,7,6
3000,8,5
3000,9,5
3000,10,4
3000,11,4
3000,12,2
3000,13,2
3000,14,1
3000,15,5
3000,16,2
3000,17,2
3000,19,4
3000,20,1
3000,21,1
3000,22,2
3000,23,3
3000,24,1
3000,25,4
3000,26,1
3000,27,1
3000,28,2
3000,29,2
3000,30,3
3000,31,1
3000,32,1
3000,33,1
3000,34,1
3000,35,2
3000,36,2
3000,37,1
3000,38,1
3000,39,1
3000,40,1
3000,41,1
3000,42,1
3000,43,1
3000,45,1
3000,46,1
3000,47,1
3000,48,1
3000,49,1
3000,51,1
3000,53,2
3000,55,1
3000,57,1
3000,58,2
3000,61,1
3000,62,1
3000,63,1
3000,70,1
3000,72,1
3000,75,3
3000,79,1
3000,88,1
3000,89,1
3000,97,1
3000,98,2
3000,100,1
3000,101,1
3000,102,1
3000,107,2
3000,109,1
3000,110,1
3000,111,1
3000,114,1
3000,118,1
3000,123,1
3000,138,2
3000,140,2
3000,147,1
3000,152,1
3000,155,2
3000,156,1
3000,174,1
3000,178,1
3000,179,1
3000,184,1
3000,185,1
3000,190,1
3000,191,1
3000,192,2
3000,218,1
3000,223,1
3000,229,1
3000,230,1
3000,233,1
3000,234,1
3000,235,1
3000,236,1
3000,239,1
3000,250,2
3000,255,1
3000,258,2
3000,260,1
3000,275,1
3000,290,1
3000,291,1
3000,298,1
3000,303,1
3000,321,1
3000,334,1
3000,337,1
3000,340,1
3000,341,1
3000,344,1
3000,346,1
3000,350,1
3000,357,1
3000,372,1
3000,376,1
3000,387,1
3000,406,2
3000,410,1
3000,418,1
3000,430,1
3000,441,1
3000,450,1
3000,452,1
3000,459,1
3000,474,1
3000,479,1
3000,482,1
3000,491,1
3000,492,1
3000,528,1
3000,529,1
3000,532,1
3000,574,1
3000,577,1
3000,578,1
3000,581,1
3000,621,1
3000,636,1
3000,670,1
3000,673,1
3000,716,1
3000,717,1
3000,728,1
3000,799,1
3000,810,1
3000,820,1
3000,865,1
3000,868,1
3000,869,1
3000,889,1
3000,942,1
3000,950,1
3000,954,1
3000,1016,1
3000,1024,1
3000,1044,1
3000,1050,1
3000,1061,1
3000,1066,1
3000,1083,1
3000,1139,1
3000,1193,1
3000,1202,1
3000,1211,1
3000,1217,1
3000,1329,1
3000,1382,1
3000,1397,1
3000,1440,1
3000,1444,1
3000,1449,1
3000,1487,1
3000,1498,1
3000,1576,1
3000,1625,1
3000,1635,1
3000,1704,1
3000,1722,1
3000,1747,1
3000,1754,1
3000,1765,1
3000,1820,1
3000,1837,1
3000,1864,1
3000,1948,1
3000,2113,1
3000,2185,1
3000,2224,1
3000,2286,1
3000,2310,1
3000,2480,1
3000,2486,1
3000,2616,1
3000,2671,1
3000,2734,1
3000,2757,1
3000,2782,1
3000,2822,1
3000,2859,1
3000,3082,1
3000,3172,1
3000,3177,1
3000,3188,1
3000,3199,1
3000,3453,1
3000,3489,1
3000,3511,1
3000,3530,1
3000,3828,1
3000,3968,1
3000,4079,1
3000,4357,1
3000,4406,1
3000,4555,1
3000,4747,1
3000,4819,1
3000,5050,1
3000,5178,1
3000,5312,1
3000,5383,1
3000,5440,1
3000,5504,1
3000,5537,1
3000,5875,1
3000,5948,1
3000,6062,1
3000,6628,1
3000,6642,1
3000,6650,1
3000,6760,1
3000,6913,1
3000,6926,1
3000,7081,1
3000,7084,1
3000,7156,1
3000,7621,1
3000,7929,1
3000,8105,1
3000,8127,1
3000,8494,1
3000,8694,1
3000,8711,1
3000,8858,1
3000,9140,1
3000,9623,1
3000,9660,1
3000,11196,1
3000,11953,1
3000,12135,1
3000,12326,1
3000,12332,1
3000,12509,1
3000,12943,1
3000,13430,1
3000,13575,1
3000,14107,1
3000,14947,1
3000,15263,1
3000,16598,1
3000,16688,1
3000,17671,1
3000,17827,1
3000,17947,1
3000,18046,1
3000,18273,1
4000,1,47
4000,2,23
4000,3,17
4000,4,12
4000,5,11
4000,6,3
4000,7,11
4000,8,7
4000,9,7
4000,10,5
4000,11,3
4000,12,3
4000,13,4
4000,14,5
4000,15,5
4000,16,1
4000,17,3
4000,18,5
4000,19,2
4000,21,2
4000,22,3
4000,23,1
4000,24,2
4000,25,1
4000,26,1
4000,27,2
4000,30,2
4000,31,2
4000,34,2
4000,35,1
4000,36,1
4000,43,1
4000,44,1
4000,46,2
4000,49,1
4000,51,1
4000,54,1
4000,57,3
4000,58,2
4000,59,1
4000,62,3
4000,63,2
4000,64,1
4000,66,1
4000,67,1
4000,71,1
4000,75,1
4000,77,2
4000,78,1
4000,81,1
4000,86,1
4000,90,2
4000,92,1
4000,97,1
4000,98,1
4000,101,1
4000,106,1
4000,107,1
4000,113,1
4000,114,1
4000,123,1
4000,135,1
4000,138,1
4000,143,1
4000,150,2
4000,160,1
4000,163,1
4000,165,1
4000,168,1
4000,170,1
4000,173,1
4000,174,1
4000,182,2
4000,203,1
4000,204,1
4000,229,1
4000,230,1
4000,258,1
4000,259,1
4000,263,1
4000,285,2
4000,309,1
4000,315,1
4000,329,1
4000,336,1
4000,355,1
4000,368,1
4000,374,1
4000,394,1
4000,444,1
4000,473,1
4000,488,1
4000,492,1
4000,506,1
4000,518,1
4000,531,1
4000,538,1
4000,564,1
4000,570,1
4000,637,1
4000,640,1
4000,652,1
4000,674,1
4000,679,1
4000,688,1
4000,701,1
4000,702,1
4000,721,1
4000,733,1
4000,841,1
4000,868,1
4000,871,1
4000,884,1
4000,963,1
4000,964,1
4000,997,1
4000,1066,1
4000,1076,1
4000,1209,1
4000,1226,1
4000,1240,1
4000,1244,1
4000,1245,1
4000,1248,1
4000,1321,1
4000,1344,1
4000,1377,1
4000,1416,1
4000,1421,1
4000,1442,1
4000,1504,1
4000,1509,1
4000,1526,1
4000,1529,2
4000,1536,1
4000,1537,1
4000,1639,1
4000,1764,1
4000,1839,1
4000,1843,1
4000,1895,1
4000,1948,1
4000,1969,1
4000,1997,1
4000,2195,1
4000,2209,1
4000,2306,1
4000,2317,1
4000,2319,1
4000,2342,1
4000,2412,1
4000,2583,1
4000,2602,1
4000,2661,1
4000,2687,1
4000,2805,1
4000,2813,1
4000,2922,1
4000,2992,1
4000,3017,1
4000,3075,1
4000,3147,1
4000,3353,1
4000,3382,1
4000,3405,1
4000,3601,1
4000,3621,1
4000,3657,1
4000,3663,1
4000,3757,1
4000,3977,1
4000,4061,1
4000,4156,1
4000,4409,1
4000,4451,1
4000,4502,1
4000,4618,1
4000,4710,1
4000,4735,1
4000,4972,1
4000,5157,1
4000,5430,1
4000,5534,1
4000,5588,1
4000,5698,1
4000,6002,1
4000,6145,1
4000,6547,1
4000,6583,1
4000,6747,1
4000,6893,1
4000,7460,1
4000,7552,1
4000,7746,1
4000,8989,1
4000,9152,1
4000,9401,1
4000,9430,1
4000,10655,1
4000,10699,1
4000,11128,1
4000,11316,1
4000,12115,1
4000,12135,1
4000,12757,1
4000,13367,1
4000,13368,1
4000,13906,1
4000,14331,1
4000,14360,1
4000,14940,1
4000,14944,1
4000,15391,1
4000,15887,1
4000,16229,1
4000,17207,1
4000,17843,1
4000,18249,1
4000,18545,1
4000,19241,1
4000,19977,1
4000,20275,1
4000,20356,1
4000,20915,1
4000,21320,1
5000,1,49
5000,2,22
5000,3,17
5000,4,8
5000,5,4
5000,6,10
5000,7,6
5000,8,5
5000,9,4
5000,10,8
5000,11,3
5000,12,2
5000,13,3
5000,14,1
5000,15,3
5000,16,1
5000,17,4
5000,18,2
5000,19,2
5000,20,2
5000,21,1
5000,22,2
5000,23,8
5000,25,2
5000,26,4
5000,27,1
5000,30,1
5000,31,1
5000,32,1
5000,33,2
5000,35,1
5000,36,2
5000,38,1
5000,39,1
5000,40,1
5000,41,1
5000,43,1
5000,46,1
5000,47,2
5000,49,1
5000,51,2
5000,52,2
5000,53,2
5000,54,1
5000,55,1
5000,57,1
5000,58,2
5000,59,1
5000,65,1
5000,68,2
5000,70,1
5000,71,1
5000,74,2
5000,78,1
5000,80,1
5000,87,1
5000,91,1
5000,92,1
5000,95,1
5000,97,1
5000,98,1
5000,103,1
5000,105,1
5000,108,1
5000,118,1
5000,124,1
5000,130,1
5000,134,1
5000,140,1
5000,146,1
5000,164,2
5000,169,1
5000,175,1
5000,184,1
5000,191,1
5000,192,1
5000,197,1
5000,220,1
5000,224,1
5000,226,1
5000,229,1
5000,236,1
5000,242,1
5000,247,1
5000,250,2
5000,267,1
5000,285,1
5000,288,1
5000,297,1
5000,312,1
5000,313,1
5000,326,1
5000,347,1
5000,351,1
5000,366,1
5000,367,1
5000,387,1
5000,396,1
5000,399,1
5000,400,1
5000,401,1
5000,422,1
5000,467,1
5000,497,1
5000,499,1
5000,534,1
5000,538,1
5000,555,1
5000,563,1
5000,565,1
5000,604,1
5000,610,1
5000,613,1
5000,615,1
5000,658,1
5000,692,1
5000,731,1
5000,734,1
5000,775,1
5000,785,1
5000,811,1
5000,859,1
5000,862,1
5000,875,1
5000,935,1
5000,1096,1
5000,1097,1
5000,1163,1
5000,1167,1
5000,1174,1
5000,1212,1
5000,1276,1
5000,1293,1
5000,1418,1
5000,1437,1
5000,1505,1
5000,1554,1
5000,1562,1
5000,1610,1
5000,1681,1
5000,1691,1
5000,1773,1
5000,1815,1
5000,1865,1
5000,1907,1
5000,1970,1
5000,2046,1
5000,2199,1
5000,2254,1
5000,2446,1
5000,2506,1
5000,2775,1
5000,2851,1
5000,2860,1
5000,2869,1
5000,2939,1
5000,3015,1
5000,3122,1
5000,3393,1
5000,3426,1
5000,3560,1
5000,3586,1
5000,3831,1
5000,3922,1
5000,3961,1
5000,4110,1
5000,4244,1
5000,4349,1
5000,4413,1
5000,4640,1
5000,4711,1
5000,5052,1
5000,5170,1
5000,5299,1
5000,5891,1
5000,5912,1
5000,6105,1
5000,6164,1
5000,6886,1
5000,6972,1
5000,7923,1
5000,8044,1
5000,8076,1
5000,8478,1
5000,8579,1
5000,8601,1
5000,8877,1
5000,9130,1
5000,9163,1
5000,9386,1
5000,9521,1
5000,9655,1
5000,9890,1
5000,9899,1
5000,10082,1
5000,10291,1
5000,10306,1
5000,10820,1
5000,11007,1
5000,11074,1
5000,11533,1
5000,11704,1
5000,12049,1
5000,12150,1
5000,12190,1
5000,12548,1
5000,12677,1
5000,14665,1
5000,14778,1
5000,15333,1
5000,15681,1
5000,16101,1
5000,16126,1
5000,16224,1
5000,16416,1
5000,17353,1
5000,17815,1
5000,18006,1
5000,18940,1
5000,19699,1
5000,19958,1
5000,19980,1
6000,1,39
6000,2,14
6000,3,9
6000,4,6
6000,5,9
6000,6,4
6000,7,7
6000,8,7
6000,9,1
6000,10,6
6000,11,4
6000,12,4
6000,13,3
6000,14,3
6000,15,1
6000,16,1
6000,17,4
6000,18,2
6000,19,2
6000,20,2
6000,22,2
6000,23,1
6000,24,2
6000,25,3
6000,26,2
6000,27,2
6000,28,5
6000,29,2
6000,30,3
6000,31,1
6000,33,2
6000,35,1
6000,40,1
6000,42,1
6000,43,1
6000,45,1
6000,48,1
6000,50,1
6000,51,2
6000,53,1
6000,60,2
6000,61,1
6000,62,1
6000,65,1
6000,69,3
6000,72,1
6000,73,1
6000,74,1
6000,79,1
6000,82,1
6000,88,1
6000,90,1
6000,92,1
6000,93,1
6000,94,1
6000,96,1
6000,105,1
6000,107,1
6000,108,2
6000,112,1
6000,113,1
6000,114,1
6000,119,1
6000,123,1
6000,124,2
6000,126,1
6000,135,1
6000,137,1
6000,154,1
6000,155,1
6000,159,1
6000,161,1
6000,169,1
6000,170,1
6000,176,1
6000,183,1
6000,184,1
6000,188,1
6000,211,1
6000,215,1
6000,220,1
6000,235,1
6000,245,1
6000,249,1
6000,263,1
6000,270,1
6000,305,1
6000,318,1
6000,332,1
6000,358,1
6000,361,1
6000,388,1
6000,401,1
6000,416,1
6000,427,1
6000,432,1
6000,440,1
6000,444,1
6000,453,1
6000,506,1
6000,572,1
6000,602,1
6000,709,1
6000,723,1
6000,755,1
6000,804,1
6000,819,1
6000,849,1
6000,874,1
6000,892,1
6000,904,1
6000,939,1
6000,959,1
