Time,nSegregatingSites,nNeutralSites,nBackgroundSelSites,nPositiveSelSites,nDivergentSelSites
1000,407,386,8,7,6
2000,422,404,1,10,7
3000,413,396,2,8,7
4000,401,381,4,8,8
5000,381,351,7,9,14
6000,333,317,2,4,10
7000,336,313,5,6,12
8000,347,329,2,5,11
9000,357,330,8,5,14
10000,356,330,3,7,16
